"","period","county","region","year","id","quarter","naloxone_count","agent_type","death_counts_all_opioids","death_rate_all_opioids","death_counts_heroin","death_rate_heroin","death_counts_pain_relievers","death_rate_pain_relievers","2017_pct_bb_covrg","county.f","agent_type_f","date","nalonxe_per_death","enrolled","population","region_pop","pp_medicaid_enroll","equifax","unemployment","pp_constr_employ","avg_earnings","post","treat","time_to_treat","post_alt","treat_alt","time_to_treat_alt","cumulative_trend_alt","bb_treatment"
"1",1,"Albany","Capital District",2015,1,1,15,"EMS",4,1.3,3,1,1,0.3,0.88514757,"Albany","EMS",2015-01-01,3.75,676474,307433,3250188,6.93779354712199,25.7711363273134,4.8,0.033518240714792,4555,0,0,0,0,1,-9,0.20390212697905,0.180483472213338
"2",1,"Albany","Capital District",2015,2281,1,3,"COOP",4,1.3,3,1,1,0.3,0.88514757,"Albany","COOP",2015-01-01,0.75,676474,307433,3250188,6.93779354712199,25.7711363273134,4.8,0.033518240714792,4555,0,0,0,0,0,0,0.20390212697905,0.180483472213338
"3",1,"Albany","Capital District",2015,1141,1,1,"LEO",4,1.3,3,1,1,0.3,0.88514757,"Albany","LEO",2015-01-01,0.25,676474,307433,3250188,6.93779354712199,25.7711363273134,4.8,0.033518240714792,4555,0,1,-9,0,1,-9,0.20390212697905,0.180483472213338
"4",1,"Monroe","Finger Lakes",2015,26,1,104,"EMS",23,3.1,10,1.3,17,2.3,0.87922639,"Monroe","EMS",2015-01-01,4.52173913043478,855932,745577,5032686,5.66915294669023,25.0930217377113,5.73333333333333,0.0318804828011529,3970,0,0,0,0,1,-9,0.20390212697905,0.179276131017112
"5",1,"Monroe","Finger Lakes",2015,2306,1,3,"COOP",23,3.1,10,1.3,17,2.3,0.87922639,"Monroe","COOP",2015-01-01,0.130434782608696,855932,745577,5032686,5.66915294669023,25.0930217377113,5.73333333333333,0.0318804828011529,3970,0,0,0,0,0,0,0.20390212697905,0.179276131017112
"6",1,"Monroe","Finger Lakes",2015,1166,1,1,"LEO",23,3.1,10,1.3,17,2.3,0.87922639,"Monroe","LEO",2015-01-01,0.0434782608695652,855932,745577,5032686,5.66915294669023,25.0930217377113,5.73333333333333,0.0318804828011529,3970,0,1,-9,0,1,-9,0.20390212697905,0.179276131017112
"7",1,"Jefferson","North Country",2015,22,1,8,"EMS",1,0.9,0,0,1,0.9,0.85599744,"Jefferson","EMS",2015-01-01,8,302156,116371,1268307,7.94118984336337,34.4060475161987,8.53333333333333,0.0449203299807888,3072,0,0,0,0,1,-9,0.20390212697905,0.174539698704622
"8",1,"Hamilton","Mohawk Valley",2015,1160,1,0,"LEO",0,0,0,0,0,0,0.59090906,"Hamilton","LEO",2015-01-01,0,406355,4699,1300155,10.4181168142773,19.6652719665272,9.7,0.0471014492753623,2983,0,1,-9,0,1,-9,0.20390212697905,0.120487614185191
"9",1,"Hamilton","Mohawk Valley",2015,2300,1,0,"COOP",0,0,0,0,0,0,0.59090906,"Hamilton","COOP",2015-01-01,0,406355,4699,1300155,10.4181168142773,19.6652719665272,9.7,0.0471014492753623,2983,0,0,0,0,0,0,0.20390212697905,0.120487614185191
"10",1,"Hamilton","Mohawk Valley",2015,20,1,0,"EMS",0,0,0,0,0,0,0.59090906,"Hamilton","EMS",2015-01-01,0,406355,4699,1300155,10.4181168142773,19.6652719665272,9.7,0.0471014492753623,2983,0,0,0,0,1,-9,0.20390212697905,0.120487614185191
