"county","year","nalo_pharms"
"Albany","2016",43
"Albany","2017",43
"Albany","2018",50
"Albany","2019",52
"Allegany","2016",3
"Allegany","2017",3
"Allegany","2018",4
"Allegany","2019",5
"Broome","2016",28
"Broome","2017",28
"Broome","2018",33
"Broome","2019",37
"Cattaraugus","2016",5
"Cattaraugus","2017",5
"Cattaraugus","2018",8
"Cattaraugus","2019",8
"Cayuga","2016",9
"Cayuga","2017",9
"Cayuga","2018",11
"Cayuga","2019",12
"Chautauqua","2016",17
"Chautauqua","2017",17
"Chautauqua","2018",20
"Chautauqua","2019",20
"Chemung","2016",9
"Chemung","2017",9
"Chemung","2018",12
"Chemung","2019",12
"Chenango","2016",4
"Chenango","2017",4
"Chenango","2018",6
"Chenango","2019",6
"Clinton","2016",12
"Clinton","2017",12
"Clinton","2018",14
"Clinton","2019",15
"Columbia","2016",8
"Columbia","2017",8
"Columbia","2018",10
"Columbia","2019",11
"Cortland","2016",7
"Cortland","2017",7
"Cortland","2018",9
"Cortland","2019",9
"Delaware","2016",6
"Delaware","2017",6
"Delaware","2018",7
"Delaware","2019",7
"Dutchess","2016",31
"Dutchess","2017",31
"Dutchess","2018",34
"Dutchess","2019",36
"Erie","2016",125
"Erie","2017",125
"Erie","2018",133
"Erie","2019",135
"Essex","2016",4
"Essex","2017",4
"Essex","2018",6
"Essex","2019",7
"Franklin","2016",8
"Franklin","2017",8
"Franklin","2018",10
"Franklin","2019",11
"Fulton","2016",6
"Fulton","2017",6
"Fulton","2018",8
"Fulton","2019",8
"Genesee","2016",7
"Genesee","2017",7
"Genesee","2018",9
"Genesee","2019",10
"Greene","2016",6
"Greene","2017",6
"Greene","2018",8
"Greene","2019",12
"Hamilton","2016",0
"Hamilton","2017",0
"Hamilton","2018",1
"Hamilton","2019",2
"Herkimer","2016",7
"Herkimer","2017",7
"Herkimer","2018",9
"Herkimer","2019",9
"Jefferson","2016",17
"Jefferson","2017",17
"Jefferson","2018",21
"Jefferson","2019",21
"Lewis","2016",1
"Lewis","2017",1
"Lewis","2018",3
"Lewis","2019",3
"Livingston","2016",5
"Livingston","2017",5
"Livingston","2018",7
"Livingston","2019",7
"Madison","2016",11
"Madison","2017",11
"Madison","2018",13
"Madison","2019",12
"Monroe","2016",87
"Monroe","2017",85
"Monroe","2018",104
"Monroe","2019",109
"Montgomery","2016",8
"Montgomery","2017",8
"Montgomery","2018",10
"Montgomery","2019",10
"Nassau","2016",147
"Nassau","2017",148
"Nassau","2018",153
"Nassau","2019",170
"Niagara","2016",17
"Niagara","2017",19
"Niagara","2018",21
"Niagara","2019",29
"Oneida","2016",26
"Oneida","2017",26
"Oneida","2018",30
"Oneida","2019",30
"Onondaga","2016",75
"Onondaga","2017",75
"Onondaga","2018",81
"Onondaga","2019",84
"Ontario","2016",12
"Ontario","2017",11
"Ontario","2018",16
"Ontario","2019",16
"Orange","2016",37
"Orange","2017",36
"Orange","2018",42
"Orange","2019",48
"Orleans","2016",2
"Orleans","2017",2
"Orleans","2018",4
"Orleans","2019",5
"Oswego","2016",13
"Oswego","2017",13
"Oswego","2018",18
"Oswego","2019",18
"Otsego","2016",7
"Otsego","2017",7
"Otsego","2018",9
"Otsego","2019",9
"Putnam","2016",5
"Putnam","2017",5
"Putnam","2018",6
"Putnam","2019",8
"Rensselaer","2016",19
"Rensselaer","2017",19
"Rensselaer","2018",23
"Rensselaer","2019",23
"Rockland","2016",20
"Rockland","2017",21
"Rockland","2018",23
"Rockland","2019",31
"Saratoga","2016",26
"Saratoga","2017",26
"Saratoga","2018",29
"Saratoga","2019",29
"Schenectady","2016",23
"Schenectady","2017",21
"Schenectady","2018",24
"Schenectady","2019",25
"Schoharie","2016",3
"Schoharie","2017",3
"Schoharie","2018",5
"Schoharie","2019",5
"Schuyler","2016",1
"Schuyler","2017",1
"Schuyler","2018",3
"Schuyler","2019",3
"Seneca","2016",3
"Seneca","2017",3
"Seneca","2018",5
"Seneca","2019",6
"St. Lawrence","2016",16
"St. Lawrence","2017",16
"St. Lawrence","2018",20
"St. Lawrence","2019",24
"Steuben","2016",9
"Steuben","2017",9
"Steuben","2018",12
"Steuben","2019",12
"Suffolk","2016",162
"Suffolk","2017",164
"Suffolk","2018",175
"Suffolk","2019",196
"Sullivan","2016",4
"Sullivan","2017",4
"Sullivan","2018",8
"Sullivan","2019",9
"Tioga","2016",3
"Tioga","2017",3
"Tioga","2018",5
"Tioga","2019",5
"Tompkins","2016",12
"Tompkins","2017",12
"Tompkins","2018",14
"Tompkins","2019",14
"Ulster","2016",16
"Ulster","2017",16
"Ulster","2018",19
"Ulster","2019",20
"Warren","2016",15
"Warren","2017",15
"Warren","2018",18
"Warren","2019",18
"Washington","2016",7
"Washington","2017",7
"Washington","2018",9
"Washington","2019",10
"Wayne","2016",10
"Wayne","2017",10
"Wayne","2018",13
"Wayne","2019",13
"Westchester","2016",93
"Westchester","2017",93
"Westchester","2018",102
"Westchester","2019",110
"Wyoming","2016",3
"Wyoming","2017",3
"Wyoming","2018",1
"Wyoming","2019",5
"Yates","2016",3
"Yates","2017",3
"Yates","2018",1
"Yates","2019",4
